station,n_departures,avg_daily_departures,n_arrivals,avg_daily_arrivals,departure_arrival_ratio,n_destinations,n_origins,mean_duration,median_duration,std_duration,weekend_ratio,morning_rush_ratio,evening_rush_ratio,night_ratio
1034,6826,19.282485875706215,6906,19.508474576271187,0.9884158702577469,669,647,1705977.017433343,1078307.0,16920579.83040361,0.1547026076765309,0.018165836507471434,0.5640199238206857,0.03808965719308526
300019,5935,16.304945054945055,5981,16.431318681318682,0.9923089784317004,457,469,1367657.1147430497,986691.0,3466614.66937257,0.288458298230834,0.2586352148272957,0.20623420387531594,0.02325189553496209
200137,11889,32.66208791208791,11234,30.86263736263736,1.0583051450952465,599,617,1079503.8317772732,859368.0,9393927.6435288,0.22726890402893432,0.40676255362099417,0.15409201783160906,0.04424257717217596
200134,8743,29.738095238095237,6928,23.405405405405407,1.2619803695150116,548,517,1040323.2494567082,675764.0,3654408.575442609,0.2710740020587899,0.27862289831865494,0.1989019787258378,0.02093103053871669
200024,6679,18.3489010989011,5959,16.37087912087912,1.1208256418862226,457,467,975133.3834406348,693465.0,4172826.2725282605,0.2750411738284174,0.28881569097170234,0.17817038478814193,0.025902081149872736
1162,16127,44.30494505494506,16330,44.862637362637365,0.9875688916105327,702,678,1023278.9758169529,734097.0,3403257.455197797,0.21256278291064673,0.2496434550753395,0.22167793141935885,0.022756867365288026
1177,11978,32.90659340659341,12063,33.14010989010989,0.9929536599519191,701,697,1755088.9553347805,978138.0,25250514.56667805,0.25972616463516446,0.05685423276006011,0.36800801469360495,0.02763399565870763
1159,13191,36.239010989010985,12663,34.78846153846154,1.0416962805022507,679,669,1175205.2501705708,724658.0,19179578.02443196,0.13622924721400956,0.12273519824122507,0.35531801986202716,0.02592676825108028
1040,16372,44.97802197802198,16246,44.63186813186813,1.007755755262834,721,686,940380.2130466651,682712.0,4883903.865700096,0.1555704861959443,0.20632787686293672,0.29739799657952604,0.032433422917175665
1174,15079,41.425824175824175,13807,37.827397260273976,1.0921271818642717,650,663,976340.7381789243,653209.0,9504537.443114819,0.27959413754227735,0.2515418794349758,0.18582134093772795,0.02400689700908548
300034,6381,17.67590027700831,6384,17.635359116022098,0.9995300751879699,499,504,1947103.981037455,913639.0,20872492.935812667,0.2706472339758659,0.26312490205296973,0.20388653816016297,0.03917881209841718
200155,8935,24.546703296703296,8941,24.563186813186814,0.9993289341236998,449,469,1937906.6671516509,1016653.0,30057607.89133268,0.35075545607162845,0.22249580302182428,0.1954113038612199,0.028091773922775603
1165,14821,40.605479452054794,14824,40.61369863013699,0.9997976254722072,662,671,1062570.2314283787,738966.0,4730995.132327562,0.2505229066864584,0.29471695567100736,0.20032386478645164,0.02145604210242224
1022,15280,41.863013698630134,15327,42.107142857142854,0.9969335160174855,689,652,1672093.1492146596,579717.5,53349600.60326859,0.23455497382198953,0.1119109947643979,0.3106675392670157,0.01407068062827225
200152,16434,45.14835164835165,15326,41.989041095890414,1.0722954456479186,552,554,935188.8540829987,601469.0,8409035.120294103,0.2187538030911525,0.370268954606304,0.18619934282584885,0.009188268224412802
