station_number,latitude,longitude,station_name
200035,51.510101,-0.211358,"Walmer Road, Avondale"
200033,51.515256,-0.058641,"Philpot Street, Whitechapel"
200047,51.52568,-0.055312,"Bethnal Green Garden, Bethnal Green"
200003,51.52388,-0.065076,"Cheshire Street, Bethnal Green"
200042,51.528936,-0.055894,"York Hall, Bethnal Green"
200054,51.493381,-0.007542,"Jubilee Crescent, Cubitt Town"
22165,51.50623,-0.02296,"Fisherman's Walk West, Canary Wharf"
200020,51.511088,-0.057159,"Shadwell Station, Shadwell"
200002,51.515975,-0.053177,"Jubilee Street, Stepney"
200021,51.504719,-0.063531,"Hermitage Court, Wapping"
200049,51.505697,-0.070542,"St. Katharine's Way, Tower"
200045,51.508447,-0.055167,"Garnet Street, Shadwell"
200046,51.487679,-0.021582,"Napier Avenue, Millwall"
200031,51.49447,-0.014409,"East Ferry Road, Cubitt Town"
200118,51.537706,-0.144801,"Albert Street, Camden Town"
200016,51.542138,-0.145393,"Castlehaven Road, Camden Town"
200034,51.504749,-0.057544,"Wapping Lane, Wapping"
200014,51.535179,-0.03338,"Gunmakers Lane, Old Ford"
200013,51.516,-0.038775,"Aston Street, Stepney"
200105,51.541603,-0.138853,"Bonny Street, Camden Town"
200093,51.534776,-0.071881,"Thurtle Road, Haggerston"
200082,51.51417,-0.052099,"St. Mary & St. Michael Church, Stepney"
200152,51.53558,-0.08249,"Pitfield Street North,Hoxton"
200158,51.534464,-0.076341,"Whiston Road, Haggerston"
200168,51.523538,-0.030556,"Southern Grove, Bow"
200150,51.521564,-0.022694,"Cantrell Road, Bow"
22178,51.513757,-0.020467,"Lindfield Street, Poplar"
200174,51.530535,-0.025492,"Mostyn Grove, Bow"
200006,51.533283,-0.028155,"Hewison Street, Old Ford"
200019,51.529452,-0.027616,"Malmesbury Road, Bow"
22167,51.496137,-0.019355,"Millharbour, Millwall"
200155,51.541515,-0.038557,"Gascoyne Road, Victoria Park"
200004,51.499041,-0.020157,"Lightermans Road, Millwall"
200009,51.489096,-0.009205,"Stebondale Street, Cubitt Town"
200018,51.49109,-0.018716,"Spindrift Avenue, Millwall"
200012,51.521889,-0.04667,"Stepney Green Station, Stepney"
200156,51.527152,-0.058005,"Pott Street, Bethnal Green"
200115,51.512871,-0.038986,"Flamborough Street, Limehouse"
200022,51.487129,-0.009001,"Saunders Ness Road, Cubitt Town"
200052,51.495947,-0.173689,"Exhibition Road Museums 2, South Kensington"
22166,51.51328,-0.047784,"Albert Gardens, Stepney"
22172,51.528828,-0.013258,"Bromley High Street, Bow"
22173,51.531127,-0.048017,"Old Ford Road, Bethnal Green"
22174,51.525645,-0.069543,"Granby Street, Shoreditch"
22175,51.511811,-0.025626,"Canton Street, Poplar"
22176,51.506946,-0.058681,"Reardon Street, Wapping"
22177,51.513074,-0.064094,"Christian Street, Whitechapel"
200090,51.508622,-0.065006,"Pennington Street, Wapping"
200249,51.522507,-0.041378,"Queen Mary's, Mile End"
200233,51.50196,-0.016251,"South Quay East, Canary Wharf"
200252,51.528169,-0.018703,"Bow Church Station, Bow"
200255,51.52512,-0.015578,"Devons Road, Bow"
200242,51.526578,-0.027581,"Merchant Street, Bow"
200251,51.527058,-0.025296,"Bow Road Station, Bow"
200011,51.519265,-0.021345,"Furze Green, Bow"
200148,51.520019,-0.05438,"Ansell House, Stepney"
200073,51.522561,-0.054883,"Cephas Street, Bethnal Green"
200241,51.53341,-0.049591,"Bonner Gate, Victoria Park"
200250,51.520893,-0.051394,"Cleveland Way, Stepney"
200243,51.496454,-0.009506,"St. John's Park, Cubitt Town"
200038,51.520398,-0.026768,"Ackroyd Drive, Bow"
200036,51.517475,-0.075855,"Bell Lane, Liverpool Street"
200131,51.528692,-0.059091,"Clarkson Street, Bethnal Green"
200157,51.519362,-0.074431,"Fournier Street, Whitechapel"
200253,51.517842,-0.090075,"Fore Street Avenue, Guildhall"
200238,51.509303,-0.025996,"Westferry DLR, Limehouse"
200256,51.511066,-0.053558,"Sutton Street, Shadwell"
200162,51.514222,-0.055656,"Watney Market, Stepney"
200008,51.516204,-0.155525,"Portman Square, Marylebone"
200080,51.500088,-0.211316,"Russell Gardens, Olympia"
200089,51.5112,-0.014438,"Chrisp Street Market, Poplar"
200027,51.532513,-0.033085,"Ford Road, Old Ford"
